pos,player,wkts,mat,inns,ov,runs,avg,econ,sr,base_price,final_price,role,final_price_rate
75,Abhinandan Singh,3,3,3,9.4,122,40.66,12.62,19.33,3000000,3000000,Uncapped,1.0
72,Akash Singh,4,2,2,7.0,80,20.0,11.42,10.5,3000000,3000000,Uncapped,1.0
44,Akeal Hosein,8,7,7,24.4,198,24.75,8.02,18.5,20000000,20000000,Capped,1.0
5,Anshul Kamboj,21,14,14,50.2,530,25.23,10.52,14.38,3000000,34000000,Uncapped,11.33
39,Anukul Roy,9,14,12,27.1,261,29.0,9.6,18.11,3000000,4000000,Uncapped,1.33
96,Arjun Tendulkar,1,1,1,4.0,36,36.0,9.0,24.0,3000000,3000000,Uncapped,1.0
21,Arshdeep Singh,14,14,14,53.0,541,38.64,10.2,22.71,20000000,180000000,Capped,9.0
55,Ashok Sharma,6,6,6,21.0,228,38.0,10.85,21.0,3000000,9000000,Uncapped,3.0
54,Ashwani Kumar,6,3,3,10.0,102,17.0,10.2,10.0,3000000,3000000,Uncapped,1.0
56,Avesh Khan,6,7,7,24.4,273,45.5,11.06,24.66,20000000,97500000,Capped,4.88
30,Axar Patel,11,14,13,44.0,360,32.72,8.18,24.0,10000000,50000000,Capped,5.0
74,Azmatullah Omarzai,3,3,3,11.0,103,34.33,9.36,22.0,15000000,24000000,Capped,1.6
101,Ben Dwarshuis,1,1,1,4.0,51,51.0,12.75,24.0,10000000,44000000,Capped,4.4
2,Bhuvneshwar Kumar,28,16,16,63.0,501,17.89,7.95,13.5,20000000,107500000,Capped,5.38
19,Brijesh Sharma,14,13,13,45.3,450,32.14,9.89,19.5,3000000,3000000,Uncapped,1.0
50,Cameron Green,7,14,10,22.0,234,33.42,10.63,18.85,20000000,252000000,Capped,12.6
48,Deepak Chahar,8,8,8,25.3,265,33.12,10.39,19.12,20000000,92500000,Capped,4.62
60,Digvesh Singh,5,10,10,39.0,397,79.4,10.17,46.8,3000000,3000000,Uncapped,1.0
95,Dilshan Madushanka,1,1,1,4.0,36,36.0,9.0,24.0,5000000,46000000,Uncapped,9.2
104,Donovan Ferreira,1,15,3,3.0,41,41.0,13.66,18.0,7500000,7500000,Capped,1.0
6,Eshan Malinga,20,15,15,54.2,507,25.35,9.33,16.3,3000000,12000000,Uncapped,4.0
68,Gurjapneet Singh,4,8,8,25.1,233,58.25,9.25,37.75,3000000,22000000,Uncapped,7.33
71,Hardik Pandya,4,10,9,22.4,259,64.75,11.42,34.0,1000000,1000000,Capped,1.0
76,Harpreet Brar,2,2,2,8.0,60,30.0,7.5,24.0,3000000,15000000,Uncapped,5.0
43,Jacob Duffy,9,6,6,24.0,263,29.22,10.95,16.0,20000000,20000000,Capped,1.0
18,Jamie Overton,14,10,10,28.0,249,17.78,8.89,12.0,15000000,15000000,Capped,1.0
10,Jason Holder,17,11,11,38.2,290,17.05,7.56,13.52,20000000,70000000,Capped,3.5
65,Jasprit Bumrah,4,13,13,49.0,410,102.5,8.36,73.5,2000000,12000000,Capped,6.0
70,Jaydev Unadkat,4,4,4,12.5,140,35.0,10.9,19.25,10000000,10000000,Capped,1.0
