company,date,open,high,low,close,volume
Prince Pipes & Fittings Ltd.,2019-12-30,160.0,177.9,152.5,166.9,21159947
Prince Pipes & Fittings Ltd.,2019-12-31,162.3,167.4,150.6,152.45,5939748
Prince Pipes & Fittings Ltd.,2020-01-01,153.05,159.5,152.4,155.85,3114230
Prince Pipes & Fittings Ltd.,2020-01-02,156.05,158.7,154.0,155.7,1021302
Prince Pipes & Fittings Ltd.,2020-01-03,156.0,156.0,151.25,151.9,623408
Prince Pipes & Fittings Ltd.,2020-01-06,143.0,153.5,143.0,150.2,1515788
Prince Pipes & Fittings Ltd.,2020-01-07,151.75,155.85,150.9,153.55,621807
Prince Pipes & Fittings Ltd.,2020-01-08,149.7,154.8,149.65,153.25,519977
Prince Pipes & Fittings Ltd.,2020-01-09,155.5,169.0,153.05,161.9,3636245
Prince Pipes & Fittings Ltd.,2020-01-10,160.85,166.8,159.35,165.3,1506054
Prince Pipes & Fittings Ltd.,2020-01-13,167.0,174.4,166.2,169.45,2035350
Prince Pipes & Fittings Ltd.,2020-01-14,170.0,174.0,169.75,171.65,724613
Prince Pipes & Fittings Ltd.,2020-01-15,172.1,172.9,168.9,170.25,293100
Prince Pipes & Fittings Ltd.,2020-01-16,171.0,184.4,170.55,174.2,3162996
Prince Pipes & Fittings Ltd.,2020-01-17,173.9,177.35,169.0,170.0,652615
Prince Pipes & Fittings Ltd.,2020-01-20,170.5,172.95,165.5,166.3,399997
Prince Pipes & Fittings Ltd.,2020-01-21,169.0,172.8,168.05,171.65,579708
Prince Pipes & Fittings Ltd.,2020-01-22,172.5,176.0,171.5,172.7,460701
Prince Pipes & Fittings Ltd.,2020-01-23,173.4,175.0,171.3,172.85,270044
Prince Pipes & Fittings Ltd.,2020-01-24,172.3,173.7,170.55,171.8,201038
Prince Pipes & Fittings Ltd.,2020-01-27,171.2,177.0,170.25,174.3,690849
Prince Pipes & Fittings Ltd.,2020-01-28,176.0,182.0,174.75,178.25,1383816
Prince Pipes & Fittings Ltd.,2020-01-29,180.7,183.6,176.5,177.85,626766
Prince Pipes & Fittings Ltd.,2020-01-30,179.1,179.4,172.5,174.25,216496
Prince Pipes & Fittings Ltd.,2020-01-31,175.0,178.7,171.65,175.95,258299
Prince Pipes & Fittings Ltd.,2020-02-03,168.85,171.9,166.0,167.25,148029
Prince Pipes & Fittings Ltd.,2020-02-04,168.35,173.5,168.35,171.4,157238
Prince Pipes & Fittings Ltd.,2020-02-05,172.45,172.9,167.7,168.7,122567
Prince Pipes & Fittings Ltd.,2020-02-06,169.5,171.75,167.45,168.35,112909
Prince Pipes & Fittings Ltd.,2020-02-07,168.7,173.0,168.2,172.15,208837
