company,listing_date,final_price,price_change,retail_subscription ,days_since_listing,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,volatility,max_drawdown,gain_bucket
Prince Pipes & Fittings Ltd.,2019-12-30,178,-6.24,1.63,2390,-15.617977528089893,-0.0842696629213515,-44.325842696629216,-35.0,58.511235955056165,3.8722153645224293,-60.22070415133999,low
Ujjivan Small Finance Bank Ltd.,2019-12-12,37,51.22,45.29,2408,59.72972972972973,41.08108108108109,11.621621621621614,-18.783783783783782,5.0000000000000036,3.1289909121629695,-59.22165820642979,high
CSB Bank Ltd.,2019-12-04,195,53.87,40.98,2416,23.43589743589743,6.692307692307699,-10.435897435897433,-34.820512820512825,15.282051282051286,2.7894319491167328,-66.77220463256126,high
Vishwaraj Sugar Industries Ltd.,2019-10-15,60,0.58,0.59,2466,-79.85,-77.86666666666666,-69.95,-78.33333333333333,-63.28333333333334,4.910540696245038,-37.52620545073375,low
Indian Railway Catering & Tourism Corp.Ltd.,2019-10-14,320,127.42,13.28,2467,-51.303124999999994,-41.746875,-42.671875,-21.631249999999998,-16.468749999999996,2.356747747113436,-58.22638899561976,high
Sterling & Wilson Solar Ltd.,2019-08-20,780,-6.9,0.93,2522,-17.97435897435898,-23.820512820512814,-58.89743589743589,-64.77564102564102,-68.21794871794872,4.304331953651448,-89.89947672817405,low
Spandana Sphoorty Financial Ltd.,2019-08-19,856,-0.96,0.09,2523,-3.6331775700934608,-0.6366822429906595,52.76285046728974,17.318925233644862,-32.59345794392524,2.4419421678576407,-69.72359038447401,low
Affle (India) Ltd.,2019-08-08,745,17.27,10.23,2534,-77.57986577181208,-77.38255033557047,-63.14093959731544,-51.76644295302014,-50.54496644295302,3.8425689938656604,-58.27327029469461,medium
IndiaMART InterMESH Ltd.,2019-07-04,973,33.81,13.15,2569,-31.908530318602264,-36.8191161356629,-8.090441932168552,6.163412127440907,7.906474820143891,3.5196935965675107,-53.3822265205244,medium
Neogen Chemicals Ltd.,2019-05-08,215,22.58,15.38,2626,17.790697674418603,42.511627906976734,55.906976744186046,81.13953488372093,108.48837209302327,3.4250957904417625,-39.83034872761546,medium
Polycab India Ltd.,2019-04-16,538,21.71,4.36,2648,17.86245353159852,11.403345724907068,14.405204460966543,23.7639405204461,37.0817843866171,1.3937683810136356,-50.17834887618721,medium
Metropolis Healthcare Ltd.,2019-04-15,880,9.07,2.05,2649,-73.13863636363637,-73.5340909090909,-69.6534090909091,-63.51704545454546,-62.00113636363637,1.620285597625865,-42.05220883534137,low
Rail Vikas Nigam Ltd.,2019-04-11,19,0.26,2.64,2653,37.63157894736842,19.47368421052631,37.89473684210526,20.526315789473674,-3.42105263157894,4.221371321591993,-62.06896551724138,low
MSTC Ltd.,2019-03-29,120,-5.04,2.65,2666,-11.833333333333336,-11.833333333333336,-27.83333333333334,-16.16666666666667,-36.541666666666664,1.7732806499092295,-64.39092822071545,low
Chalet Hotels Ltd.,2019-02-07,280,4.18,0.02,2716,2.267857142857151,1.1428571428571388,17.696428571428577,12.178571428571438,21.625000000000007,2.1075797897446567,-17.571244450809097,low
Xelpmoc Design & Tech Ltd.,2019-02-04,66,-9.32,2.31,2719,15.45454545454546,10.3030303030303,5.98484848484849,-3.4090909090909087,-3.7121212121212164,3.8521096013836313,-40.49676025917926,low
