ipo_company_name,ipo_issue_type,ipo_issue_price_final,il_ipo_listing_date,il_bse_script_code,il_nse_script_symbol,ipo_issue_size_in_amt,change_in_percentage_listing_day,ipo_profit_loss,ildt_open_price,ildt_close_price,ildt_high_price,ildt_low_price,qib,nii,rii,emp,total,last_modified_date,Year
Prince Pipes & Fittings Ltd.,IPO,178,2019-12-30T00:00:00.000Z,542907,PRINCEPIPE,4999999530,-6.24,50.06,160,166.9,177.9,152.5,2.02,0.52,1.63,,1.66,14-07-2026,2019
Manaksia Ltd.,FPO,160,2019-12-26T00:00:00.000Z,,,2480000000,4.81,0,175.3,167.7,212,161.7,13.7,1.51,4.67,0.49,8.66,14-07-2026,2019
Ujjivan Small Finance Bank Ltd.,IPO,37,2019-12-12T00:00:00.000Z,542904,UJJIVANSFB,7459459434,51.22,76.08,58.75,55.95,62.8,53.05,46.3,473.33,45.29,,99.61,14-07-2026,2019
CSB Bank Ltd.,IPO,195,2019-12-04T00:00:00.000Z,542867,CSBBANK,4096768065,53.87,82.69,275,300.05,306.8,275,25.52,164.27,40.98,,47.88,14-07-2026,2019
Precision Pipes & Profiles Co.Ltd.,IPO,150,2019-12-02T00:00:00.000Z,,,750000000,-9.27,0,165,136.1,175,132,5.39,8.26,19.02,,10.59,14-07-2026,2019
Vishwaraj Sugar Industries Ltd.,IPO,60,2019-10-15T00:00:00.000Z,542852,VISHWARAJ,600000000,0.58,-54.92,61.2,60.35,61.5,60.25,1,1.75,0.59,,1.09,14-07-2026,2019
Indian Railway Catering & Tourism Corp.Ltd.,IPO,320,2019-10-14T00:00:00.000Z,542830,IRCTC,6379722720,127.42,676.64,626,727.75,743.8,625,105.55,351.03,13.28,0.88,109.21,14-07-2026,2019
Sterling & Wilson Solar Ltd.,IPO,780,2019-08-20T00:00:00.000Z,542760,SWSOLAR,28496379600,-6.9,-68.97,706,726.2,753.45,690.1,1,0.94,0.93,,0.99,14-07-2026,2019
Spandana Sphoorty Financial Ltd.,IPO,856,2019-08-19T00:00:00.000Z,542759,SPANDANA,11898494160,-0.96,-64.61,825,847.8,866,691.1,1.89,0.49,0.09,,1.05,14-07-2026,2019
Affle (India) Ltd.,IPO,745,2019-08-08T00:00:00.000Z,542752,AFFLE,4589999385,17.27,917.75,926,873.65,958.7,750,22.57,198.34,10.23,,47.7,14-07-2026,2019
IndiaMART InterMESH Ltd.,IPO,973,2019-07-04T00:00:00.000Z,542726,INDIAMART,4754919726,33.81,97.4,1180,1301.95,1338,1180,12.95,62.08,13.15,3.98,20.31,14-07-2026,2019
Barak Valley Cements Ltd.,IPO,42,2019-07-01T00:00:00.000Z,,,237720000,31.67,0,62.6,55.3,67,52,24.17,21.63,38.65,1.13,28.3,14-07-2026,2019
Neogen Chemicals Ltd.,IPO,215,2019-05-08T00:00:00.000Z,542665,NEOGEN,1323499795,22.58,899.4,251,263.55,263.55,250.5,12.94,114.06,15.38,,28.96,14-07-2026,2019
Polycab India Ltd.,IPO,538,2019-04-16T00:00:00.000Z,542652,POLYCAB,13452597046,21.71,1671.45,633,654.8,667.8,630,37.88,108.64,4.36,1.43,36.51,14-07-2026,2019
Metropolis Healthcare Ltd.,IPO,880,2019-04-15T00:00:00.000Z,542650,METROPOLIS,12042883600,9.07,-36.49,958,959.85,982.7,935,4.19,2.75,2.05,0.03,3.68,14-07-2026,2019
Rail Vikas Nigam Ltd.,IPO,19,2019-04-11T00:00:00.000Z,542649,RVNL,4768609479,0.26,1096.32,19,19.05,19.8,18.65,1.36,0.67,2.64,0.54,1.7,14-07-2026,2019
Embassy Office Parks,REIT,300,2019-04-01T00:00:00.000Z,542602,EMBASSY,47499960000,4.89,47.7,308,314.67,324.8,308,1.48,2.94,,,1.69,14-07-2026,2019
MSTC Ltd.,IPO,120,2019-03-29T00:00:00.000Z,542597,MSTCLTD,2110380800,-5.04,443.79,115,113.95,120,111,1.13,1.69,2.65,1.22,1.36,14-07-2026,2019
Chalet Hotels Ltd.,IPO,280,2019-02-07T00:00:00.000Z,542399,CHALET,16411799880,4.18,205,291,291.7,300,250,2.51,0.99,0.02,,1.41,14-07-2026,2019
Xelpmoc Design & Tech Ltd.,IPO,66,2019-02-04T00:00:00.000Z,542367,XELPMOC,230044740,-9.32,28.48,57,59.85,59.85,55.15,1.68,8.21,2.31,,2.72,14-07-2026,2019
Mrs.Bectors Food Specialities Ltd.,IPO,288,2020-12-24T00:00:00.000Z,543253,BECTORFOOD,5405399163,106.32,190.28,500,594.2,600,500,71.83,619.66,25.44,1.89,137.63,14-07-2026,2020
Burger King India Ltd.,IPO,60,2020-12-14T00:00:00.000Z,543248,RBA,8100000000,125,17.93,112.5,135,135,108.4,35.18,357.06,56.92,,85.64,14-07-2026,2020
Gland Pharma Ltd.,IPO,1500,2020-11-20T00:00:00.000Z,543245,GLAND,64795452000,21.3,65.81,1710,1819.55,1850,1700,3.16,0.5,0.19,,1.72,14-07-2026,2020
Equitas Small Finance Bank Ltd.,IPO,33,2020-11-02T00:00:00.000Z,543243,EQUITASBNK,5175999972,-0.61,142.33,31.1,32.8,33.15,30.05,2.15,0.16,1.53,1.53,1.53,14-07-2026,2020
Likhitha Infrastructure Ltd.,IPO,120,2020-10-15T00:00:00.000Z,543240,LIKHITHA,612000000,13.75,303.25,130,136.5,136.5,125,21,1.45,19.48,,7.96,14-07-2026,2020
UTI Asset Management Co.Ltd.,IPO,554,2020-10-12T00:00:00.000Z,543238,UTIAMC,21598842874,-14.04,77.92,500,476.2,529.95,471.1,1.96,0.58,1.97,0.96,1.75,14-07-2026,2020
Mazagon Dock Shipbuilders Ltd.,IPO,145,2020-10-12T00:00:00.000Z,543237,MAZDOCK,4436857465,18.59,3154.9,214.9,171.95,216.95,171.95,89.87,673.67,32.15,3.85,155.51,14-07-2026,2020
Angel Broking Ltd.,IPO,306,2020-10-05T00:00:00.000Z,543235,ANGELONE,5999997510,-9.87,990.03,275,275.8,296.7,257,2.9,0.51,3.36,,2.7,14-07-2026,2020
Computer Age Management Services Ltd.,IPO,1230,2020-10-01T00:00:00.000Z,543232,CAMS,22431228288,13.95,211.57,1518,1401.6,1550,1306.2,29.9,111.31,4.85,0.54,33.02,14-07-2026,2020
Chemcon Speciality Chemicals Ltd.,IPO,340,2020-10-01T00:00:00.000Z,543233,CHEMCON,3179999940,72,-45.59,731,584.8,731.25,584.8,44.62,445.91,35.79,,101.72,14-07-2026,2020
Route Mobile Ltd.,IPO,350,2020-09-21T00:00:00.000Z,543228,ROUTE,5999999600,86.09,63.03,717,651.3,735,625,37.31,193.78,11.54,,51.76,14-07-2026,2020
Happiest Minds Technologies Ltd.,IPO,166,2020-09-17T00:00:00.000Z,543227,HAPPSTMNDS,7020155106,123.46,136.78,350,370.95,394.95,350,31.96,348.43,60.3,,82.26,14-07-2026,2020
Mindspace Business Parks,REIT,275,2020-08-07T00:00:00.000Z,543217,MINDSPACE,44999955000,10.44,78.76,302,303.7,307.2,300,4.89,15.54,,,5.91,14-07-2026,2020
Yes Bank Ltd.,FPO,12,2020-07-27T00:00:00.000Z,532648,YESBANK,1.5E+11,2.5,96.83,12.3,12.3,12.3,12.3,1.37,1.2,0.41,0.29,1,14-07-2026,2020
Rossari Biotech Ltd.,IPO,425,2020-07-23T00:00:00.000Z,543213,ROSSARI,4962499750,74.51,23.69,669.25,741.65,803.1,664,34.83,236.79,6.2,,55.11,14-07-2026,2020
SBI Cards & Payment Services Ltd.,IPO,755,2020-03-16T00:00:00.000Z,543066,SBICARD,1.03408E+11,-9.75,-15.44,661,681.4,755,656,23.41,43.42,2.17,4.65,19.21,14-07-2026,2020
CMS Info Systems Ltd.,IPO,216,2021-12-31T00:00:00.000Z,543441,CMSINFO,10999999800,10.28,23.29,220.2,238.2,259.6,215.1,1.44,0.86,1.26,,1.29,14-07-2026,2021
Supriya Lifescience Ltd.,IPO,274,2021-12-28T00:00:00.000Z,543434,SUPRIYA,6999999930,42.65,217.66,421,390.85,421,383.2,13.76,162.87,49.31,,39.68,14-07-2026,2021
HP Adhesives Ltd.,IPO,274,2021-12-27T00:00:00.000Z,543433,HPAL,1259632800,20.71,-36.24,315,330.75,330.75,315,1.32,18.21,47.27,,8.45,14-07-2026,2021
Data Patterns (India) Ltd.,IPO,585,2021-12-24T00:00:00.000Z,543428,DATAPATTNS,5882241690,29.06,620.44,856.05,755,864,743.85,74.99,254.89,20.21,,82.8,14-07-2026,2021
Medplus Health Services Ltd.,IPO,796,2021-12-23T00:00:00.000Z,543427,MEDPLUS,13982948546,40.85,2.29,1040,1121.15,1143.9,1040,46.21,86.27,4.17,1.37,37.36,14-07-2026,2021
Metro Brands Ltd.,IPO,500,2021-12-22T00:00:00.000Z,543426,METROBRAND,13675050000,-1.33,110.08,437,493.35,507.9,426,4.01,2.69,0.63,,2.63,14-07-2026,2021
C.E.Info systems Ltd.,IPO,1033,2021-12-21T00:00:00.000Z,543425,MAPMYINDIA,10396055185,34.91,14.02,1565,1393.65,1590,1282.6,79.28,423.61,13.18,,107.8,14-07-2026,2021
Shriram Properties Ltd.,IPO,118,2021-12-20T00:00:00.000Z,543419,SHRIRAMPPS,6000417731,-15.59,-25.97,90,99.6,106.4,90,1.37,2.52,8.05,0.86,2.2,14-07-2026,2021
Rategain Travel Technologies Ltd.,IPO,425,2021-12-17T00:00:00.000Z,543417,RATEGAIN,13357430650,-19.99,124.2,360,340.05,383,333.85,3.97,41.63,5.46,0.98,9.73,14-07-2026,2021
Anand Rathi Wealth Ltd.,IPO,550,2021-12-14T00:00:00.000Z,543415,ANANDRATHI,6593750000,6.1,278.45,600,583.55,615,565.55,1.63,24.4,5.62,1.07,6.33,14-07-2026,2021
Tega Industries Ltd.,IPO,453,2021-12-13T00:00:00.000Z,543413,TEGA,6192273534,60.28,268.38,760,726.05,767.7,712.25,86.54,661.87,25.84,,151.6,14-07-2026,2021
Star Health & Allied Insurance Co.Ltd.,IPO,900,2021-12-10T00:00:00.000Z,543412,STARHEALTH,60186843380,0.76,-33.58,845,906.85,940,828,1.01,0.67,0.59,0.82,0.95,14-07-2026,2021
Go Fashion (India) Ltd.,IPO,690,2021-11-30T00:00:00.000Z,543401,GOCOLORS,10136088270,81.7,-50.31,1310,1253.7,1339.9,1143.1,40.74,259.01,42.26,,73.63,14-07-2026,2021
Tarsons Products Ltd.,IPO,662,2021-11-26T00:00:00.000Z,543399,TARSONS,10235405977,23.63,-53.4,682,818.4,818.4,680,46.9,183.36,8.89,0.82,53.86,14-07-2026,2021
Latent View Analytics Ltd.,IPO,197,2021-11-23T00:00:00.000Z,543398,LATENTVIEW,5999999832,148.1,52.28,512.2,488.75,548,461.1,60.57,875.55,106.09,1.51,185.32,14-07-2026,2021
One 97 Communications Ltd.,IPO,2150,2021-11-18T00:00:00.000Z,543396,PAYTM,1.83E+11,-27.4,-35.72,1950,1560.8,1955,1560,1.76,0.23,1.27,,1.48,14-07-2026,2021
Sapphire Foods India Ltd.,IPO,1180,2021-11-18T00:00:00.000Z,543397,SAPPHIRE,20732530380,2.67,-22.88,1350,1211.55,1380.05,1160,3.64,3.12,6.65,,3.86,14-07-2026,2021
S.J.S.Enterprises Ltd.,IPO,542,2021-11-15T00:00:00.000Z,543387,SJS,7999999132,-5.87,298.39,542,510.2,551,505.6,1.28,1.82,0.77,,1.18,14-07-2026,2021
Sigachi Industries Ltd.,IPO,163,2021-11-15T00:00:00.000Z,543389,SIGACHI,1254285000,267.18,44.36,570,598.5,598.5,570,32.54,163.23,68.94,,64.89,14-07-2026,2021
PB Fintech Ltd.,IPO,980,2021-11-15T00:00:00.000Z,543390,POLICYBZR,57097149060,22.68,59.91,1150,1202.3,1248.9,1149,11.61,8.02,2.65,,10.17,14-07-2026,2021
Fino Payments Bank Ltd.,IPO,577,2021-11-12T00:00:00.000Z,543386,FINOPB,12002929985,-5.74,-69.32,544.35,543.9,582.95,511.05,1.26,0.15,3.78,0.38,1.34,14-07-2026,2021
FSN E-Commerce Ventures Ltd.,IPO,1125,2021-11-10T00:00:00.000Z,543384,NYKAA,53497241750,96.07,-71.18,2018,2205.8,2248,2000,37.54,110.16,10.28,1.1,45.47,14-07-2026,2021
Aditya Birla Sun Life AMC Ltd.,IPO,712,2021-10-11T00:00:00.000Z,543374,ABSLAMC,27682560000,-1.76,60.62,715,699.45,722.9,695.35,4.74,2.71,2.36,,3.58,14-07-2026,2021
Paras Defence & Space Technologies Ltd.,IPO,175,2021-10-01T00:00:00.000Z,543367,PARAS,1707785800,181.4,1274.74,469,492.45,492.45,460,70.75,962.89,100.8,,215.09,14-07-2026,2021
Sansera Engineering Ltd.,IPO,744,2021-09-24T00:00:00.000Z,543358,SANSERA,12825203784,10.02,334.99,811.5,818.55,841.95,801,11.19,11.16,2.34,1.36,8.03,14-07-2026,2021
Ami Organics Ltd.,IPO,610,2021-09-14T00:00:00.000Z,543349,,5696355680,53.28,467.2,910,935,966.7,841,34.65,155.84,11.3,,44.66,14-07-2026,2021
