_id,id,year,state_name,state_code,cause,gender,number_of_deaths
1,0,2018,Andaman And Nicobar Islands,35,Bankruptcy Or Indebtedness,Female,1
2,1,2018,Andaman And Nicobar Islands,35,Bankruptcy Or Indebtedness,Male,4
3,2,2018,Andaman And Nicobar Islands,35,Bankruptcy Or Indebtedness,Transgender,0
4,3,2018,Andaman And Nicobar Islands,35,Causes Not Known,Female,7
5,4,2018,Andaman And Nicobar Islands,35,Causes Not Known,Male,7
6,5,2018,Andaman And Nicobar Islands,35,Causes Not Known,Transgender,0
7,6,2018,Andaman And Nicobar Islands,35,Death Of Dear Person,Female,1
8,7,2018,Andaman And Nicobar Islands,35,Death Of Dear Person,Male,1
9,8,2018,Andaman And Nicobar Islands,35,Death Of Dear Person,Transgender,0
10,9,2018,Andaman And Nicobar Islands,35,Drug Abuse/Alcoholic Addiction,Female,2
11,10,2018,Andaman And Nicobar Islands,35,Drug Abuse/Alcoholic Addiction,Male,14
12,11,2018,Andaman And Nicobar Islands,35,Drug Abuse/Alcoholic Addiction,Transgender,0
13,12,2018,Andaman And Nicobar Islands,35,Failure In Examination,Female,1
14,13,2018,Andaman And Nicobar Islands,35,Failure In Examination,Male,0
15,14,2018,Andaman And Nicobar Islands,35,Failure In Examination,Transgender,0
16,15,2018,Andaman And Nicobar Islands,35,Fall In Social Reputation,Female,0
17,16,2018,Andaman And Nicobar Islands,35,Fall In Social Reputation,Male,0
18,17,2018,Andaman And Nicobar Islands,35,Fall In Social Reputation,Transgender,0
19,18,2018,Andaman And Nicobar Islands,35,Family Problems,Female,19
20,19,2018,Andaman And Nicobar Islands,35,Family Problems,Male,21
21,20,2018,Andaman And Nicobar Islands,35,Family Problems,Transgender,0
22,21,2018,Andaman And Nicobar Islands,35,Ideological Causes/Hero Worshipping,Female,0
23,22,2018,Andaman And Nicobar Islands,35,Ideological Causes/Hero Worshipping,Male,0
24,23,2018,Andaman And Nicobar Islands,35,Ideological Causes/Hero Worshipping,Transgender,0
25,24,2018,Andaman And Nicobar Islands,35,Illegitimate Pregnancy (Other Than Extra Marital Affairs),Female,0
26,25,2018,Andaman And Nicobar Islands,35,Illegitimate Pregnancy (Other Than Extra Marital Affairs),Male,0
27,26,2018,Andaman And Nicobar Islands,35,Illegitimate Pregnancy (Other Than Extra Marital Affairs),Transgender,0
28,27,2018,Andaman And Nicobar Islands,35,Illness (Aids/Std),Female,0
29,28,2018,Andaman And Nicobar Islands,35,Illness (Aids/Std),Male,0
30,29,2018,Andaman And Nicobar Islands,35,Illness (Aids/Std),Transgender,0
31,30,2018,Andaman And Nicobar Islands,35,Illness (Cancer),Female,1
32,31,2018,Andaman And Nicobar Islands,35,Illness (Cancer),Male,0
33,32,2018,Andaman And Nicobar Islands,35,Illness (Cancer),Transgender,0
34,33,2018,Andaman And Nicobar Islands,35,Illness (Insanity/Mental Illness),Female,2
35,34,2018,Andaman And Nicobar Islands,35,Illness (Insanity/Mental Illness),Male,14
