_id,id,year,state_name,state_code,economic_status,gender,number_of_deaths
1,0,2018,Andaman And Nicobar Islands,35,Less Than ₹1 Lakh,Female,43
2,1,2018,Andaman And Nicobar Islands,35,Less Than ₹1 Lakh,Male,41
3,2,2018,Andaman And Nicobar Islands,35,Less Than ₹1 Lakh,Transgender,0
4,3,2018,Andaman And Nicobar Islands,35,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,10
5,4,2018,Andaman And Nicobar Islands,35,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,64
6,5,2018,Andaman And Nicobar Islands,35,₹1 Lakh & Above - Less Than ₹5 Lakhs,Transgender,0
7,6,2018,Andaman And Nicobar Islands,35,₹10 Lakhs And Above,Female,0
8,7,2018,Andaman And Nicobar Islands,35,₹10 Lakhs And Above,Male,1
9,8,2018,Andaman And Nicobar Islands,35,₹10 Lakhs And Above,Transgender,0
10,9,2018,Andaman And Nicobar Islands,35,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,1
11,10,2018,Andaman And Nicobar Islands,35,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,4
12,11,2018,Andaman And Nicobar Islands,35,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Transgender,0
13,12,2018,Andhra Pradesh,28,Less Than ₹1 Lakh,Female,964
14,13,2018,Andhra Pradesh,28,Less Than ₹1 Lakh,Male,2346
15,14,2018,Andhra Pradesh,28,Less Than ₹1 Lakh,Transgender,2
16,15,2018,Andhra Pradesh,28,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,506
17,16,2018,Andhra Pradesh,28,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,1200
18,17,2018,Andhra Pradesh,28,₹1 Lakh & Above - Less Than ₹5 Lakhs,Transgender,0
19,18,2018,Andhra Pradesh,28,₹10 Lakhs And Above,Female,23
20,19,2018,Andhra Pradesh,28,₹10 Lakhs And Above,Male,57
21,20,2018,Andhra Pradesh,28,₹10 Lakhs And Above,Transgender,0
22,21,2018,Andhra Pradesh,28,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,73
23,22,2018,Andhra Pradesh,28,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,148
24,23,2018,Andhra Pradesh,28,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Transgender,0
25,24,2018,Arunachal Pradesh,12,Less Than ₹1 Lakh,Female,26
26,25,2018,Arunachal Pradesh,12,Less Than ₹1 Lakh,Male,65
27,26,2018,Arunachal Pradesh,12,Less Than ₹1 Lakh,Transgender,0
28,27,2018,Arunachal Pradesh,12,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,10
29,28,2018,Arunachal Pradesh,12,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,20
30,29,2018,Arunachal Pradesh,12,₹1 Lakh & Above - Less Than ₹5 Lakhs,Transgender,0
31,30,2018,Arunachal Pradesh,12,₹10 Lakhs And Above,Female,0
32,31,2018,Arunachal Pradesh,12,₹10 Lakhs And Above,Male,0
33,32,2018,Arunachal Pradesh,12,₹10 Lakhs And Above,Transgender,0
34,33,2018,Arunachal Pradesh,12,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,0
35,34,2018,Arunachal Pradesh,12,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,11
36,35,2018,Arunachal Pradesh,12,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Transgender,0
37,36,2018,Assam,18,Less Than ₹1 Lakh,Female,445
38,37,2018,Assam,18,Less Than ₹1 Lakh,Male,1051
39,38,2018,Assam,18,Less Than ₹1 Lakh,Transgender,0
40,39,2018,Assam,18,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,224
41,40,2018,Assam,18,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,482
42,41,2018,Assam,18,₹1 Lakh & Above - Less Than ₹5 Lakhs,Transgender,0
43,42,2018,Assam,18,₹10 Lakhs And Above,Female,0
44,43,2018,Assam,18,₹10 Lakhs And Above,Male,0
45,44,2018,Assam,18,₹10 Lakhs And Above,Transgender,0
46,45,2018,Assam,18,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,34
