_id,id,year,state_name,state_code,educational_status,gender,number_of_deaths
1,1,2018,Andaman And Nicobar Islands,35,Diploma/ Certificate/ Iti,Female,0
2,2,2018,Andaman And Nicobar Islands,35,Diploma/ Certificate/ Iti,Male,1
3,3,2018,Andaman And Nicobar Islands,35,Diploma/ Certificate/ Iti,Transgender,0
4,4,2018,Andaman And Nicobar Islands,35,Graduate And Above,Female,4
5,5,2018,Andaman And Nicobar Islands,35,Graduate And Above,Male,4
6,6,2018,Andaman And Nicobar Islands,35,Graduate And Above,Transgender,0
7,7,2018,Andaman And Nicobar Islands,35,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Female,9
8,8,2018,Andaman And Nicobar Islands,35,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Male,15
9,9,2018,Andaman And Nicobar Islands,35,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Transgender,0
10,10,2018,Andaman And Nicobar Islands,35,Matriculate/ Secondary (Up To Class–10ᵗʰ),Female,8
11,11,2018,Andaman And Nicobar Islands,35,Matriculate/ Secondary (Up To Class–10ᵗʰ),Male,20
12,12,2018,Andaman And Nicobar Islands,35,Matriculate/ Secondary (Up To Class–10ᵗʰ),Transgender,0
13,13,2018,Andaman And Nicobar Islands,35,Middle (Up To Class–8ᵗʰ),Female,7
14,14,2018,Andaman And Nicobar Islands,35,Middle (Up To Class–8ᵗʰ),Male,24
15,15,2018,Andaman And Nicobar Islands,35,Middle (Up To Class–8ᵗʰ),Transgender,0
16,16,2018,Andaman And Nicobar Islands,35,No Education,Female,10
17,17,2018,Andaman And Nicobar Islands,35,No Education,Male,10
18,18,2018,Andaman And Nicobar Islands,35,No Education,Transgender,0
19,19,2018,Andaman And Nicobar Islands,35,Primary (Up To Class–5ᵗʰ),Female,13
20,20,2018,Andaman And Nicobar Islands,35,Primary (Up To Class–5ᵗʰ),Male,32
