_id,id,year,state_name,state_code,cases,married,un_married
1,0,2018,Andaman And Nicobar Islands,35,0,0,0
2,1,2018,Andhra Pradesh,28,11,21,5
3,2,2018,Arunachal Pradesh,12,0,0,0
4,3,2018,Assam,18,0,0,0
5,4,2018,Bihar,10,0,0,0
6,5,2018,Chandigarh,4,0,0,0
7,6,2018,Chhattisgarh,22,0,0,0
8,7,2018,Delhi,7,0,0,0
9,8,2018,Goa,30,0,0,0
10,9,2018,Gujarat,24,3,6,0
11,10,2018,Haryana,6,0,0,0
12,11,2018,Himachal Pradesh,2,1,1,2
13,12,2018,Jammu And Kashmir,1,0,0,0
14,13,2018,Jharkhand,20,0,0,0
15,14,2018,Karnataka,29,1,2,0
16,15,2018,Kerala,32,5,21,3
17,16,2018,Lakshadweep,31,0,0,0
18,17,2018,Madhya Pradesh,23,9,13,7
19,18,2018,Maharashtra,27,2,3,2
20,19,2018,Manipur,14,0,0,0
21,20,2018,Meghalaya,17,0,0,0
22,21,2018,Mizoram,15,0,0,0
23,22,2018,Nagaland,13,0,0,0
24,23,2018,Odisha,21,0,0,0
25,24,2018,Puducherry,34,0,0,0
26,25,2018,Punjab,3,6,4,9
27,26,2018,Rajasthan,8,6,5,12
28,27,2018,Sikkim,11,0,0,0
29,28,2018,Tamil Nadu,33,15,26,9
30,29,2018,Telangana,36,0,0,0
31,30,2018,The Dadra And Nagar Haveli And Daman And Diu,38,0,0,0
32,31,2018,Tripura,16,0,0,0
33,32,2018,Uttar Pradesh,9,0,0,0
34,33,2018,Uttarakhand,5,5,17,5
35,34,2018,West Bengal,19,0,0,0
36,35,2019,Andaman And Nicobar Islands,35,0,0,0
37,36,2019,Andhra Pradesh,28,14,25,11
38,37,2019,Arunachal Pradesh,12,0,0,0
39,38,2019,Assam,18,5,11,2
40,39,2019,Bihar,10,0,0,0
41,40,2019,Chandigarh,4,0,0,0
42,41,2019,Chhattisgarh,22,0,0,0
43,42,2019,Delhi,7,0,0,0
44,43,2019,Goa,30,0,0,0
45,44,2019,Gujarat,24,0,0,0
46,45,2019,Haryana,6,0,0,0
47,46,2019,Himachal Pradesh,2,0,0,0
48,47,2019,Jammu And Kashmir,1,0,0,0
49,48,2019,Jharkhand,20,0,0,0
50,49,2019,Karnataka,29,3,5,2
51,50,2019,Kerala,32,11,20,4
52,51,2019,Lakshadweep,31,0,0,0
53,52,2019,Madhya Pradesh,23,1,1,1
54,53,2019,Maharashtra,27,3,6,1
55,54,2019,Manipur,14,0,0,0
56,55,2019,Meghalaya,17,0,0,0
57,56,2019,Mizoram,15,0,0,0
