_id,id,year,state_name,state_code,marital_status,gender,number_of_deaths
1,0,2018,Andaman And Nicobar Islands,35,Divorcee,Female,0.0
2,1,2018,Andaman And Nicobar Islands,35,Divorcee,Male,0.0
3,2,2018,Andaman And Nicobar Islands,35,Divorcee,Transgender,0.0
4,3,2018,Andaman And Nicobar Islands,35,Married,Female,37.0
5,4,2018,Andaman And Nicobar Islands,35,Married,Male,69.0
6,5,2018,Andaman And Nicobar Islands,35,Married,Transgender,0.0
7,6,2018,Andaman And Nicobar Islands,35,Others,Female,0.0
8,7,2018,Andaman And Nicobar Islands,35,Others,Male,0.0
9,8,2018,Andaman And Nicobar Islands,35,Others,Transgender,0.0
10,9,2018,Andaman And Nicobar Islands,35,Separated,Female,0.0
11,10,2018,Andaman And Nicobar Islands,35,Separated,Male,1.0
12,11,2018,Andaman And Nicobar Islands,35,Separated,Transgender,0.0
13,12,2018,Andaman And Nicobar Islands,35,Status Not Known,Female,0.0
14,13,2018,Andaman And Nicobar Islands,35,Status Not Known,Male,0.0
15,14,2018,Andaman And Nicobar Islands,35,Status Not Known,Transgender,0.0
16,15,2018,Andaman And Nicobar Islands,35,Un-Married,Female,15.0
17,16,2018,Andaman And Nicobar Islands,35,Un-Married,Male,39.0
18,17,2018,Andaman And Nicobar Islands,35,Un-Married,Transgender,0.0
19,18,2018,Andaman And Nicobar Islands,35,Widowed/Widower,Female,2.0
20,19,2018,Andaman And Nicobar Islands,35,Widowed/Widower,Male,1.0
21,20,2018,Andaman And Nicobar Islands,35,Widowed/Widower,Transgender,0.0
22,21,2018,Andhra Pradesh,28,Divorcee,Female,0.0
23,22,2018,Andhra Pradesh,28,Divorcee,Male,2.0
24,23,2018,Andhra Pradesh,28,Divorcee,Transgender,0.0
25,24,2018,Andhra Pradesh,28,Married,Female,1119.0
26,25,2018,Andhra Pradesh,28,Married,Male,2745.0
27,26,2018,Andhra Pradesh,28,Married,Transgender,0.0
28,27,2018,Andhra Pradesh,28,Others,Female,30.0
29,28,2018,Andhra Pradesh,28,Others,Male,61.0
30,29,2018,Andhra Pradesh,28,Others,Transgender,1.0
31,30,2018,Andhra Pradesh,28,Separated,Female,30.0
32,31,2018,Andhra Pradesh,28,Separated,Male,54.0
33,32,2018,Andhra Pradesh,28,Separated,Transgender,1.0
34,33,2018,Andhra Pradesh,28,Status Not Known,Female,36.0
35,34,2018,Andhra Pradesh,28,Status Not Known,Male,180.0
36,35,2018,Andhra Pradesh,28,Status Not Known,Transgender,0.0
37,36,2018,Andhra Pradesh,28,Un-Married,Female,317.0
38,37,2018,Andhra Pradesh,28,Un-Married,Male,655.0
39,38,2018,Andhra Pradesh,28,Un-Married,Transgender,0.0
40,39,2018,Andhra Pradesh,28,Widowed/Widower,Female,34.0
41,40,2018,Andhra Pradesh,28,Widowed/Widower,Male,54.0
42,41,2018,Andhra Pradesh,28,Widowed/Widower,Transgender,0.0
43,42,2018,Arunachal Pradesh,12,Divorcee,Female,0.0
44,43,2018,Arunachal Pradesh,12,Divorcee,Male,0.0
45,44,2018,Arunachal Pradesh,12,Divorcee,Transgender,0.0
46,45,2018,Arunachal Pradesh,12,Married,Female,13.0
47,46,2018,Arunachal Pradesh,12,Married,Male,40.0
48,47,2018,Arunachal Pradesh,12,Married,Transgender,0.0
49,48,2018,Arunachal Pradesh,12,Others,Female,2.0
50,49,2018,Arunachal Pradesh,12,Others,Male,13.0
51,50,2018,Arunachal Pradesh,12,Others,Transgender,0.0
52,51,2018,Arunachal Pradesh,12,Separated,Female,0.0
53,52,2018,Arunachal Pradesh,12,Separated,Male,0.0
54,53,2018,Arunachal Pradesh,12,Separated,Transgender,0.0
55,54,2018,Arunachal Pradesh,12,Status Not Known,Female,3.0
56,55,2018,Arunachal Pradesh,12,Status Not Known,Male,9.0
57,56,2018,Arunachal Pradesh,12,Status Not Known,Transgender,0.0
58,57,2018,Arunachal Pradesh,12,Un-Married,Female,18.0
59,58,2018,Arunachal Pradesh,12,Un-Married,Male,33.0
60,59,2018,Arunachal Pradesh,12,Un-Married,Transgender,0.0
61,60,2018,Arunachal Pradesh,12,Widowed/Widower,Female,0.0
62,61,2018,Arunachal Pradesh,12,Widowed/Widower,Male,1.0
63,62,2018,Arunachal Pradesh,12,Widowed/Widower,Transgender,0.0
64,63,2018,Assam,18,Divorcee,Female,16.0
65,64,2018,Assam,18,Divorcee,Male,23.0
66,65,2018,Assam,18,Divorcee,Transgender,0.0
67,66,2018,Assam,18,Married,Female,455.0
68,67,2018,Assam,18,Married,Male,1023.0
69,68,2018,Assam,18,Married,Transgender,0.0
70,69,2018,Assam,18,Others,Female,30.0
71,70,2018,Assam,18,Others,Male,132.0
72,71,2018,Assam,18,Others,Transgender,0.0
73,72,2018,Assam,18,Separated,Female,2.0
74,73,2018,Assam,18,Separated,Male,15.0
75,74,2018,Assam,18,Separated,Transgender,0.0
76,75,2018,Assam,18,Status Not Known,Female,3.0
77,76,2018,Assam,18,Status Not Known,Male,21.0
78,77,2018,Assam,18,Status Not Known,Transgender,0.0
79,78,2018,Assam,18,Un-Married,Female,186.0
80,79,2018,Assam,18,Un-Married,Male,443.0
81,80,2018,Assam,18,Un-Married,Transgender,0.0
82,81,2018,Assam,18,Widowed/Widower,Female,11.0
83,82,2018,Assam,18,Widowed/Widower,Male,19.0
84,83,2018,Assam,18,Widowed/Widower,Transgender,0.0
85,84,2018,Bihar,10,Divorcee,Female,13.0
86,85,2018,Bihar,10,Divorcee,Male,2.0
87,86,2018,Bihar,10,Divorcee,Transgender,0.0
88,87,2018,Bihar,10,Married,Female,90.0
89,88,2018,Bihar,10,Married,Male,107.0
90,89,2018,Bihar,10,Married,Transgender,0.0
91,90,2018,Bihar,10,Others,Female,3.0
92,91,2018,Bihar,10,Others,Male,13.0
93,92,2018,Bihar,10,Others,Transgender,0.0
94,93,2018,Bihar,10,Separated,Female,0.0
95,94,2018,Bihar,10,Separated,Male,0.0
96,95,2018,Bihar,10,Separated,Transgender,0.0
97,96,2018,Bihar,10,Status Not Known,Female,0.0
98,97,2018,Bihar,10,Status Not Known,Male,3.0
99,98,2018,Bihar,10,Status Not Known,Transgender,0.0
100,99,2018,Bihar,10,Un-Married,Female,73.0
101,100,2018,Bihar,10,Un-Married,Male,131.0
102,101,2018,Bihar,10,Un-Married,Transgender,0.0
103,102,2018,Bihar,10,Widowed/Widower,Female,6.0
104,103,2018,Bihar,10,Widowed/Widower,Male,2.0
105,104,2018,Bihar,10,Widowed/Widower,Transgender,0.0
106,105,2018,Chandigarh,4,Divorcee,Female,0.0
107,106,2018,Chandigarh,4,Divorcee,Male,0.0
108,107,2018,Chandigarh,4,Divorcee,Transgender,0.0
109,108,2018,Chandigarh,4,Married,Female,27.0
110,109,2018,Chandigarh,4,Married,Male,69.0
111,110,2018,Chandigarh,4,Married,Transgender,0.0
112,111,2018,Chandigarh,4,Others,Female,0.0
113,112,2018,Chandigarh,4,Others,Male,0.0
114,113,2018,Chandigarh,4,Others,Transgender,0.0
115,114,2018,Chandigarh,4,Separated,Female,0.0
116,115,2018,Chandigarh,4,Separated,Male,0.0
117,116,2018,Chandigarh,4,Separated,Transgender,0.0
118,117,2018,Chandigarh,4,Status Not Known,Female,1.0
