_id,id,year,state_name,state_code,method_of_suicide,gender,number_of_deaths
1,0,2018,Andaman And Nicobar Islands,35,By Coming Under Running Vehicles/Trains,Female,0
2,1,2018,Andaman And Nicobar Islands,35,By Coming Under Running Vehicles/Trains,Male,0
3,2,2018,Andaman And Nicobar Islands,35,By Coming Under Running Vehicles/Trains,Transgender,0
4,3,2018,Andaman And Nicobar Islands,35,By Consuming Sleeping Pills,Female,0
5,4,2018,Andaman And Nicobar Islands,35,By Consuming Sleeping Pills,Male,0
6,5,2018,Andaman And Nicobar Islands,35,By Consuming Sleeping Pills,Transgender,0
7,6,2018,Andaman And Nicobar Islands,35,By Drowning,Female,1
8,7,2018,Andaman And Nicobar Islands,35,By Drowning,Male,2
9,8,2018,Andaman And Nicobar Islands,35,By Drowning,Transgender,0
10,9,2018,Andaman And Nicobar Islands,35,By Fire/Self Immolation,Female,8
11,10,2018,Andaman And Nicobar Islands,35,By Fire/Self Immolation,Male,1
12,11,2018,Andaman And Nicobar Islands,35,By Fire/Self Immolation,Transgender,0
13,12,2018,Andaman And Nicobar Islands,35,By Firearms,Female,0
14,13,2018,Andaman And Nicobar Islands,35,By Firearms,Male,1
15,14,2018,Andaman And Nicobar Islands,35,By Firearms,Transgender,0
16,15,2018,Andaman And Nicobar Islands,35,By Hanging,Female,41
17,16,2018,Andaman And Nicobar Islands,35,By Hanging,Male,94
18,17,2018,Andaman And Nicobar Islands,35,By Hanging,Transgender,0
19,18,2018,Andaman And Nicobar Islands,35,By Other Means,Female,0
20,19,2018,Andaman And Nicobar Islands,35,By Other Means,Male,0
21,20,2018,Andaman And Nicobar Islands,35,By Other Means,Transgender,0
22,21,2018,Andaman And Nicobar Islands,35,By Poison (By Consuming Insecticides),Female,1
23,22,2018,Andaman And Nicobar Islands,35,By Poison (By Consuming Insecticides),Male,7
24,23,2018,Andaman And Nicobar Islands,35,By Poison (By Consuming Insecticides),Transgender,0
25,24,2018,Andaman And Nicobar Islands,35,By Poison (By Consuming Other Poison),Female,3
26,25,2018,Andaman And Nicobar Islands,35,By Poison (By Consuming Other Poison),Male,4
27,26,2018,Andaman And Nicobar Islands,35,By Poison (By Consuming Other Poison),Transgender,0
28,27,2018,Andaman And Nicobar Islands,35,By Poison (Total),Female,4
29,28,2018,Andaman And Nicobar Islands,35,By Poison (Total),Male,11
30,29,2018,Andaman And Nicobar Islands,35,By Poison (Total),Transgender,0
31,30,2018,Andaman And Nicobar Islands,35,By Self Inflicting Injury,Female,0
32,31,2018,Andaman And Nicobar Islands,35,By Self Inflicting Injury,Male,1
33,32,2018,Andaman And Nicobar Islands,35,By Self Inflicting Injury,Transgender,0
34,33,2018,Andaman And Nicobar Islands,35,By Touching Electric Wire,Female,0
35,34,2018,Andaman And Nicobar Islands,35,By Touching Electric Wire,Male,0
36,35,2018,Andaman And Nicobar Islands,35,By Touching Electric Wire,Transgender,0
37,36,2018,Andaman And Nicobar Islands,35,Jumping (By Jumping Off Moving Trains/Vehicles),Female,0
38,37,2018,Andaman And Nicobar Islands,35,Jumping (By Jumping Off Moving Trains/Vehicles),Male,0
39,38,2018,Andaman And Nicobar Islands,35,Jumping (By Jumping Off Moving Trains/Vehicles),Transgender,0
40,39,2018,Andaman And Nicobar Islands,35,Jumping (From Building),Female,0
41,40,2018,Andaman And Nicobar Islands,35,Jumping (From Building),Male,0
42,41,2018,Andaman And Nicobar Islands,35,Jumping (From Building),Transgender,0
43,42,2018,Andaman And Nicobar Islands,35,Jumping (From Other Sites),Female,0
44,43,2018,Andaman And Nicobar Islands,35,Jumping (From Other Sites),Male,0
45,44,2018,Andaman And Nicobar Islands,35,Jumping (From Other Sites),Transgender,0
46,45,2018,Andaman And Nicobar Islands,35,Jumping (Total),Female,0
47,46,2018,Andaman And Nicobar Islands,35,Jumping (Total),Male,0
48,47,2018,Andaman And Nicobar Islands,35,Jumping (Total),Transgender,0
49,48,2018,Andhra Pradesh,28,By Coming Under Running Vehicles/Trains,Female,51
50,49,2018,Andhra Pradesh,28,By Coming Under Running Vehicles/Trains,Male,368
51,50,2018,Andhra Pradesh,28,By Coming Under Running Vehicles/Trains,Transgender,0
52,51,2018,Andhra Pradesh,28,By Consuming Sleeping Pills,Female,13
53,52,2018,Andhra Pradesh,28,By Consuming Sleeping Pills,Male,17
54,53,2018,Andhra Pradesh,28,By Consuming Sleeping Pills,Transgender,0
55,54,2018,Andhra Pradesh,28,By Drowning,Female,120
56,55,2018,Andhra Pradesh,28,By Drowning,Male,168
57,56,2018,Andhra Pradesh,28,By Drowning,Transgender,0
58,57,2018,Andhra Pradesh,28,By Fire/Self Immolation,Female,54
59,58,2018,Andhra Pradesh,28,By Fire/Self Immolation,Male,46
60,59,2018,Andhra Pradesh,28,By Fire/Self Immolation,Transgender,0
61,60,2018,Andhra Pradesh,28,By Firearms,Female,0
62,61,2018,Andhra Pradesh,28,By Firearms,Male,1
63,62,2018,Andhra Pradesh,28,By Firearms,Transgender,0
64,63,2018,Andhra Pradesh,28,By Hanging,Female,635
65,64,2018,Andhra Pradesh,28,By Hanging,Male,1288
66,65,2018,Andhra Pradesh,28,By Hanging,Transgender,0
