_id,id,year,state_name,state_code,profession,gender,number_of_deaths
1,0,2018,Andaman And Nicobar Islands,35,Daily Wage Earner,Female,0
2,1,2018,Andaman And Nicobar Islands,35,Daily Wage Earner,Male,5
3,2,2018,Andaman And Nicobar Islands,35,Daily Wage Earner,Transgender,0
4,3,2018,Andaman And Nicobar Islands,35,Farmers/Cultivators (Who Cultivate On Lease Land#),Female,0
5,4,2018,Andaman And Nicobar Islands,35,Farmers/Cultivators (Who Cultivate On Lease Land#),Male,0
6,5,2018,Andaman And Nicobar Islands,35,Farmers/Cultivators (Who Cultivate On Lease Land#),Transgender,0
7,6,2018,Andaman And Nicobar Islands,35,Farmers/Cultivators (Who Cultivate Their Own Land*),Female,0
8,7,2018,Andaman And Nicobar Islands,35,Farmers/Cultivators (Who Cultivate Their Own Land*),Male,4
9,8,2018,Andaman And Nicobar Islands,35,Farmers/Cultivators (Who Cultivate Their Own Land*),Transgender,0
10,9,2018,Andaman And Nicobar Islands,35,House Wife,Female,32
11,10,2018,Andaman And Nicobar Islands,35,House Wife,Male,0
12,11,2018,Andaman And Nicobar Islands,35,House Wife,Transgender,0
13,12,2018,Andaman And Nicobar Islands,35,Other Persons,Female,3
14,13,2018,Andaman And Nicobar Islands,35,Other Persons,Male,5
15,14,2018,Andaman And Nicobar Islands,35,Other Persons,Transgender,0
16,15,2018,Andaman And Nicobar Islands,35,Other Self-Employed Persons,Female,1
17,16,2018,Andaman And Nicobar Islands,35,Other Self-Employed Persons,Male,7
18,17,2018,Andaman And Nicobar Islands,35,Other Self-Employed Persons,Transgender,0
19,18,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector (Agricultural Labourers),Female,0
20,19,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector (Agricultural Labourers),Male,0
21,20,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector (Agricultural Labourers),Transgender,0
22,21,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector (Total),Female,0
23,22,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector (Total),Male,4
24,23,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector (Total),Transgender,0
25,24,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector [Farmers/Cultivators (Total)],Female,0
26,25,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector [Farmers/Cultivators (Total)],Male,4
27,26,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector [Farmers/Cultivators (Total)],Transgender,0
28,27,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Private Sector Enterprises),Female,7
29,28,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Private Sector Enterprises),Male,56
30,29,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Private Sector Enterprises),Transgender,0
31,30,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Public Sector Undertaking),Female,0
32,31,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Public Sector Undertaking),Male,1
33,32,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Public Sector Undertaking),Transgender,0
34,33,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Total),Female,8
35,34,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Total),Male,68
36,35,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Total),Transgender,0
37,36,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Central/ Ut Govt. Servants)],Female,1
38,37,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Central/ Ut Govt. Servants)],Male,11
39,38,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Central/ Ut Govt. Servants)],Transgender,0
40,39,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Other Statutory Body/Etc.)],Female,0
41,40,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Other Statutory Body/Etc.)],Male,0
42,41,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Other Statutory Body/Etc.)],Transgender,0
43,42,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (State Govt. Servants)],Female,0
