_id,id,year,state_name,state_code,number_of_suicides,percentage_share_in_total_suicides,projected_mid_year_population_in_lakh
1,0,2018,Andaman And Nicobar Islands,35,164,0.1219,4
2,1,2018,Andhra Pradesh,28,5319,3.9542,520.3
3,2,2018,Arunachal Pradesh,12,132,0.0981,14.9
4,3,2018,Assam,18,2379,1.7686,340.4
5,4,2018,Bihar,10,443,0.3293,1183.3
6,5,2018,Chandigarh,4,160,0.1189,11.7
7,6,2018,Chhattisgarh,22,7046,5.238,284.7
8,7,2018,Delhi,7,2526,1.8778,195.6
9,8,2018,Goa,30,256,0.1903,15.3
10,9,2018,Gujarat,24,7793,5.7934,673.2
11,10,2018,Haryana,6,3547,2.6369,284
12,11,2018,Himachal Pradesh,2,740,0.5501,72.7
13,12,2018,Jammu And Kashmir,1,330,0.2453,134.3
14,13,2018,Jharkhand,20,1317,0.9791,370.5
15,14,2018,Karnataka,29,11561,8.5945,654.5
16,15,2018,Kerala,32,8237,6.1234,350
17,16,2018,Lakshadweep,31,3,0.0022,0.7
18,17,2018,Madhya Pradesh,23,11775,8.7536,814.7
19,18,2018,Maharashtra,27,17972,13.3605,1213.9
20,19,2018,Manipur,14,52,0.0387,30.8
21,20,2018,Meghalaya,17,189,0.1405,11.8
22,21,2018,Mizoram,15,79,0.0587,32
23,22,2018,Nagaland,13,36,0.0268,21.3
24,23,2018,Odisha,21,4592,3.4137,435.5
25,24,2018,Puducherry,34,500,0.3717,14.8
26,25,2018,Punjab,3,1714,1.2742,297
27,26,2018,Rajasthan,8,4333,3.2212,765.9
28,27,2018,Sikkim,11,199,0.1479,6.6
29,28,2018,Tamil Nadu,33,13896,10.3304,754.6
30,29,2018,Telangana,36,7845,5.832,370.3
31,30,2018,The Dadra And Nagar Haveli And Daman And Diu,38,136,0.1011,9.3
32,31,2018,Tripura,16,720,0.5353,39.6
33,32,2018,Uttar Pradesh,9,4849,3.6048,2230
34,33,2018,Uttarakhand,5,421,0.313,110.6
35,34,2018,West Bengal,19,13255,9.8538,965
36,35,2019,Andaman And Nicobar Islands,35,181,0.1301,4
37,36,2019,Andhra Pradesh,28,6465,4.647,523.2
38,37,2019,Arunachal Pradesh,12,112,0.0805,15.1
39,38,2019,Assam,18,2370,1.7035,344.2
40,39,2019,Bihar,10,641,0.4607,1201.1
41,40,2019,Chandigarh,4,131,0.0942,11.8
42,41,2019,Chhattisgarh,22,7629,5.4836,288.5
43,42,2019,Delhi,7,2526,1.8157,199.4
44,43,2019,Goa,30,259,0.1862,15.4
45,44,2019,Gujarat,24,7655,5.5023,682.5
46,45,2019,Haryana,6,4191,3.0124,288.1
47,46,2019,Himachal Pradesh,2,584,0.4198,73.2
48,47,2019,Jammu And Kashmir,1,284,0.2041,135.3
49,48,2019,Jharkhand,20,1646,1.1831,375.8
50,49,2019,Karnataka,29,11288,8.1137,659.7
51,50,2019,Kerala,32,8556,6.15,351.9
52,51,2019,Lakshadweep,31,0,0,0.7
53,52,2019,Madhya Pradesh,23,12457,8.9539,826.1
54,53,2019,Maharashtra,27,18916,13.5966,1225.3
55,54,2019,Manipur,14,58,0.0417,31.1
